Start Time:
2019-03-16 00:43

Agent #1
  Alpha     Gamma    Epsilon    Sample   Update 
  0.0015    0.990     1.000       50       2    

Episodes Epsilon   Episode_Reward  Average_Reward  Training_Loss    Episode_Step  
   1      1.000       -118.920        -118.920         73.695            77       
   2      0.993       -75.176         -97.048         1885.957           65       
   3      0.987       -74.510         -89.535         9797.942           85       
   4      0.980       -158.769        -106.844        4375.025           98       
   5      0.973       -196.478        -124.771        2667.998           77       
   6      0.967        53.488         -95.061         5318.597           93       
   7      0.960       -234.639        -115.001        3333.080          105       
   8      0.953       -326.001        -141.376        2269.220           95       
   9      0.947       -123.065        -139.341        1506.165           85       
   10     0.940       -94.997         -134.907        1515.009           89       
   11     0.933       -13.873         -123.904        2529.801          128       
   12     0.927       -106.968        -122.492        1832.757          104       
   13     0.920       -127.106        -122.847        1523.777           90       
   14     0.913       -77.131         -119.582        1252.817           78       
   15     0.907       -55.148         -115.286        1660.963          109       
   16     0.900       -127.722        -116.063        1375.841           79       
   17     0.893       -94.723         -114.808        1180.412           70       
   18     0.887       -95.927         -113.759        1088.710           86       
   19     0.880       -82.482         -112.113        1273.993          109       
   20     0.873       -388.769        -125.946        1429.758          131       
   21     0.867       -274.287        -133.010        1147.601          115       
   22     0.860       -209.250        -136.475        1463.823           82       
   23     0.853       -96.699         -134.746        1085.920           72       
   24     0.847       -79.528         -132.445        1087.534           98       
   25     0.840       -170.911        -133.984        796.233            76       
   26     0.833       -149.709        -134.588        1236.960          113       
   27     0.827       -316.767        -141.336        900.597            93       
   28     0.820       -164.938        -142.179        1239.843          112       
   29     0.813       -75.633         -139.884        886.552            81       
   30     0.807       -42.950         -136.653        618.928            78       
   31     0.800       -86.848         -135.046        980.159            71       
   32     0.793       -200.616        -137.095        1784.319          133       
   33     0.787       -84.406         -135.499        877.613            98       
   34     0.780       -92.194         -134.225        1936.165          122       
   35     0.773       -177.302        -135.456        1798.127          103       
   36     0.767       -113.858        -134.856        1025.317           96       
   37     0.760       -74.047         -133.212        1971.663           82       
   38     0.754       -71.517         -131.589        2141.560          101       
   39     0.747       -208.477        -133.560        1739.447          124       
   40     0.740       -72.648         -132.038        955.658            88       
   41     0.734       -360.070        -137.599        1175.266          121       
   42     0.727       -85.001         -136.347        1507.564          102       
   43     0.720       -73.641         -134.889        1046.818           82       
   44     0.714       -267.790        -137.909        715.607            73       
   45     0.707       -96.895         -136.998        810.332            68       
   46     0.700       -100.291        -136.200        1276.042          124       
   47     0.694       -17.513         -133.675        1158.179          169       
   48     0.687       -42.435         -131.774        406.777            70       
   49     0.680        2.420          -129.035        1064.212          165       
   50     0.674       -78.700         -128.028        580.100            91       
   51     0.667       -253.212        -130.483        658.596           118       
   52     0.660       -80.746         -129.526        545.317            95       
   53     0.654       -10.372         -127.278        1312.194          176       
   54     0.647       -74.379         -126.299        661.890           122       
   55     0.640       -87.851         -125.600        633.158           116       
   56     0.634       -42.639         -124.118        499.259           100       
   57     0.627       -254.774        -126.410        613.959           115       
   58     0.620       -79.685         -125.605        780.804           109       
   59     0.614       -185.510        -126.620        692.141            96       
   60     0.607       -16.437         -124.784        1379.804          148       
   61     0.600       -74.331         -123.957        892.213           126       
   62     0.594       -98.552         -123.547        651.402            87       
   63     0.587       -134.630        -123.723        760.072           123       
   64     0.580       -23.711         -122.160        658.796           117       
   65     0.574       -87.572         -121.628        875.905           131       
   66     0.567       -20.252         -120.092        852.444           160       
   67     0.560       -202.082        -121.316        950.355           157       
   68     0.554       -117.669        -121.262        859.514           101       
   69     0.547       -26.197         -119.884        877.583           111       
   70     0.540        -5.677         -118.253        782.381           135       
   71     0.534       -15.658         -116.808        690.843           125       
   72     0.527       -48.603         -115.861        1218.938          188       
   73     0.520       -310.524        -118.527        810.892           139       
   74     0.514       -51.105         -117.616        570.364           130       
   75     0.507       -57.460         -116.814        2864.226          533       
   76     0.500       -35.509         -115.744        794.283           160       
   77     0.494       -84.835         -115.343        782.506           131       
   78     0.487       -145.325        -115.727        856.304           182       
   79     0.480       -55.735         -114.968        398.411            86       
   80     0.474        8.997          -113.418        625.008           124       
   81     0.467       -66.106         -112.834        1174.849          210       
   82     0.460       -59.236         -112.180        900.822           160       
   83     0.454       -96.705         -111.994        2320.408          439       
   84     0.447       -52.552         -111.286        2060.030          406       
   85     0.441       -119.364        -111.381        4492.406          891       
   86     0.434       -229.327        -112.753        1295.609          347       
   87     0.427        -5.108         -111.516        2683.420          591       
   88     0.421       -358.165        -114.318        2410.118          579       
   89     0.414       -13.835         -113.189        1317.120          289       
   90     0.407       -10.528         -112.049        747.142           143       
   91     0.401       -43.058         -111.291        1438.167          311       
   92     0.394       -45.423         -110.575        4265.153          999       
   93     0.387       -57.054         -109.999        4419.016          999       
   94     0.381       -76.280         -109.640        5073.338          999       
   95     0.374       -18.959         -108.686        5536.477          999       
   96     0.367       -46.126         -108.034        5350.676          999       
   97     0.361       -78.172         -107.726        1494.677          210       
   98     0.354       -200.781        -108.676        4273.829          551       
   99     0.347       -112.958        -108.719        850.070           121       
  100     0.341        -8.663         -107.719        9762.327          999       
  101     0.334       -70.601         -107.235       10494.981          999       
  102     0.327       -127.256        -107.756        9641.219          914       
  103     0.321        15.248         -106.859        1630.768          126       
  104     0.314       -25.705         -105.528        1214.676           95       
  105     0.307       -267.560        -106.239        1468.767          152       
  106     0.301       -63.282         -107.406        1424.112          137       
  107     0.294       -39.145         -105.452       10237.039          999       
  108     0.287       -40.231         -102.594        8170.225          999       
  109     0.281       -59.606         -101.959        8213.423          999       
  110     0.274        42.487         -100.584        8712.684          999       
  111     0.267       -33.424         -100.780        7717.312          999       
  112     0.261        29.821         -99.412         8666.694          999       
  113     0.254       -26.153         -98.402         8223.372          999       
  114     0.247       -21.732         -97.848         8937.846          999       
  115     0.241       -14.832         -97.445         7893.580          999       
  116     0.234        29.690         -95.871         1916.136          188       
  117     0.227        -7.151         -94.995         9391.609          999       
  118     0.221       -18.637         -94.223         4848.939          547       
  119     0.214       -11.216         -93.510         9429.203          999       
  120     0.207       -56.616         -90.188         8026.089          999       
  121     0.201       -40.937         -87.855         3405.159          432       
  122     0.194       -127.574        -87.038         1974.125          355       
  123     0.187       -121.554        -87.287         1915.019          280       
  124     0.181        29.557         -86.196         7217.910          999       
  125     0.174       -84.707         -85.334         4314.134          528       
  126     0.167       -36.699         -84.204         7757.266          999       
  127     0.161       -53.173         -81.568         7728.185          999       
  128     0.154        43.046         -79.488         1800.595          259       
  129     0.148        -9.759         -78.829         7795.402          999       
  130     0.141        7.869          -78.321         1941.605          217       
  131     0.134       -401.976        -81.472         5645.245          801       
  132     0.128       -242.442        -81.891         3807.817          464       
  133     0.121        56.661         -80.480         7299.710          999       
  134     0.114       -24.450         -79.802         6193.547          999       
  135     0.108       -182.570        -79.855         1496.130          216       
  136     0.101       -216.115        -80.878         977.001           104       
  137     0.094        32.481         -79.812         6756.856          999       
  138     0.088       127.882         -77.818         6039.079          769       
  139     0.081       -144.631        -77.180         920.276            95       
  140     0.074        -5.793         -76.511         1274.439          192       
  141     0.068       -262.483        -75.536         1284.209          219       
  142     0.061       -222.618        -76.912         1548.476          235       
  143     0.054        36.991         -75.805         7620.366          999       
  144     0.048        13.812         -72.989         6253.651          999       
  145     0.041       -93.752         -72.958         6568.277          999       
  146     0.034       -192.452        -73.880         1837.553          285       
  147     0.028       -177.105        -75.475         7399.668          999       
  148     0.021       -366.711        -78.718         3051.053          409       
  149     0.014       146.791         -77.274         4079.665          623       
  150     0.008       210.693         -74.381         4012.510          618       
  151     0.001       148.643         -70.362         5318.194          750       
  152     0.001       218.090         -67.374         2682.946          448       
  153     0.001        35.973         -66.910         6478.699          999       
  154     0.001        6.850          -66.098         1976.130          298       
  155     0.001       109.412         -64.125         5133.408          934       
  156     0.001       184.037         -61.859         4409.048          781       
  157     0.001       181.472         -57.496         5137.738          830       
  158     0.001       119.881         -55.500         5348.458          920       
  159     0.001       288.640         -50.759         2107.890          329       
  160     0.001       -187.046        -52.465         2369.181          350       
  161     0.001        10.405         -51.618         5782.413          999       
  162     0.001        63.342         -49.999         7378.751          999       
  163     0.001       -204.810        -50.700         2278.678          343       
  164     0.001       -55.246         -51.016         6025.511          999       
  165     0.001       -57.777         -50.718         1288.706          183       
  166     0.001        60.763         -49.908         5743.203          999       
  167     0.001       -105.579        -48.943         1390.683          270       
  168     0.001       237.129         -45.395         3466.144          574       
  169     0.001       -43.873         -45.571         6180.969          999       
  170     0.001       -166.529        -47.180         2420.475          567       
  171     0.001       250.073         -44.523         2268.667          460       
  172     0.001        24.866         -43.788         5144.308          999       
  173     0.001       194.355         -38.739         2979.619          560       
  174     0.001       -198.041        -40.209         3465.971          723       
  175     0.001       -31.127         -39.945         5170.072          999       
  176     0.001        79.596         -38.794         4741.856          795       
  177     0.001       274.391         -35.202         1606.085          210       
  178     0.001       240.229         -31.346         2099.761          379       
  179     0.001       280.872         -27.980         1913.098          345       
  180     0.001       226.392         -25.806         2520.377          532       
  181     0.001       266.066         -22.485         1714.757          355       
  182     0.001       184.176         -20.050         3192.620          631       
  183     0.001       266.982         -16.414         1904.714          378       
  184     0.001       215.338         -13.735         2531.660          513       
  185     0.001       168.236         -10.859         3436.409          646       
  186     0.001       140.005          -7.165         5066.583          850       
  187     0.001       -119.603         -8.310         4946.430          999       
  188     0.001       152.732          -3.201         4896.239          899       
  189     0.001       114.308          -1.920         4753.505          950       
  190     0.001       189.878          0.084          2830.944          698       
  191     0.001       201.837          2.533          2619.051          593       
  192     0.001       234.069          5.328          3691.082          708       
  193     0.001       233.787          8.236          1917.494          399       
  194     0.001       247.317          11.472         1310.182          343       
  195     0.001       257.242          14.234         1947.495          331       
  196     0.001       224.471          16.940         2836.264          525       
  197     0.001       258.981          20.312         2167.102          308       
  198     0.001       180.729          24.127         2535.118          531       
  199     0.001       239.639          27.653         1898.903          338       
  200     0.001       292.265          30.662         1215.187          264       
  201     0.001        71.306          32.081         1042.904          234       
  202     0.001       227.814          35.632         2315.547          461       
  203     0.001       225.769          37.737         2412.804          395       
  204     0.001       117.021          39.164         4549.775          999       
  205     0.001       247.146          44.312         1607.871          429       
  206     0.001       307.356          48.018         1572.117          276       
  207     0.001       237.332          50.783         2104.266          401       
  208     0.001       222.491          53.410         1884.740          411       
  209     0.001        61.224          54.618         5461.386          999       
  210     0.001       306.908          57.262         2248.330          308       
  211     0.001       -68.686          56.910         2981.227          542       
  212     0.001       235.273          58.964         1730.773          326       
  213     0.001       271.921          61.945         1743.233          298       
  214     0.001       184.015          64.003         3399.308          738       
  215     0.001       257.126          66.722         1254.911          314       
  216     0.001       266.560          69.091         2251.374          446       
  217     0.001       -157.323         67.589         1881.887          399       
  218     0.001       209.195          69.867         2411.545          607       
  219     0.001       205.335          72.033         3113.118          525       
  220     0.001       232.699          74.926         1844.835          257       
  221     0.001       245.693          77.792         2040.667          496       
  222     0.001       265.184          81.720         1992.152          413       
  223     0.001       279.972          85.735         1813.316          369       
  224     0.001       202.769          87.467         4026.143          678       
  225     0.001        87.093          89.185         3096.488          637       
  226     0.001       184.834          91.401         3209.977          691       
  227     0.001       223.480          94.167         2624.158          408       
  228     0.001       271.492          96.452         1340.636          396       
  229     0.001       151.559          98.065         2771.464          563       
  230     0.001       196.364          99.950         2267.665          581       
  231     0.001       275.189         106.721         1793.729          442       
  232     0.001       262.150         111.767         1990.184          370       
  233     0.001       124.820         112.449         3918.919          848       
  234     0.001       147.618         114.170         4055.810          854       
  235     0.001       -203.924        113.956         4272.752          984       
  236     0.001       281.587         118.933         1373.605          297       
  237     0.001       252.294         121.131         2027.016          476       
  238     0.001        -9.408         119.758         1456.443          284       
  239     0.001        -7.295         121.132         677.895            94       
  240     0.001       -56.557         120.624         4738.868          999       
  241     0.001       266.266         125.912         1697.199          337       
  242     0.001       221.685         130.355         2807.572          558       
  243     0.001       -272.528        127.259         924.830           173       
  244     0.001       -71.074         126.411         5370.914          999       
  245     0.001       251.401         129.862         1236.114          270       
  246     0.001       234.891         134.135         1230.863          318       
  247     0.001       266.389         138.570         972.237           258       
  248     0.001       250.290         144.740         1918.769          312       
  249     0.001       261.207         145.885         1098.589          282       
  250     0.001       -160.828        142.169         1805.007          392       
  251     0.001       220.860         142.892         4295.885          798       
  252     0.001       179.335         142.504         2264.221          527       
